['Target_images\\mandrill_smaller.png'],Num_iterations:,1000,Num_frames:,1,Time:,10.08784914,NMSE:,1.16E-07
,,,,,,,,
['Target_images\\mandrill_smaller.png'],Num_iterations:,1000,Num_frames:,2,Time:,15.65544605,NMSE:,1.10E-07
,,,,,,,,
['Target_images\\mandrill_smaller.png'],Num_iterations:,1000,Num_frames:,3,Time:,21.47721219,NMSE:,1.02E-07
,,,,,,,,
['Target_images\\mandrill_smaller.png'],Num_iterations:,1000,Num_frames:,4,Time:,28.6785574,NMSE:,9.85E-08
,,,,,,,,
['Target_images\\mandrill_smaller.png'],Num_iterations:,1000,Num_frames:,6,Time:,41.46510029,NMSE:,9.47E-08
,,,,,,,,
['Target_images\\mandrill_smaller.png'],Num_iterations:,1000,Num_frames:,8,Time:,53.98794556,NMSE:,9.28E-08
,,,,,,,,
['Target_images\\mandrill_smaller.png'],Num_iterations:,1000,Num_frames:,12,Time:,73.0731039,NMSE:,9.08E-08
,,,,,,,,
['Target_images\\mandrill_smaller.png'],Num_iterations:,1000,Num_frames:,24,Time:,251.2406666,NMSE:,8.89E-08
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ͼƬ,,,,,,,,
